"","test","model","roi","class","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy"
"59","recurrent","agnostic","IWR06-reg006","Tumor",0.751824107403444,0.665228113440197,0.670309653916211,0.747525732383215,0.670309653916211,0.751824107403444,0.708730741012472,0.475153700365183,0.357232006656497,0.532935792539176,0.708526110421821
"60","recurrent","agnostic","IWR06-reg007","Tumor",0.736631016042781,0.866475233309404,0.959512407488028,0.433704635285663,0.959512407488028,0.736631016042781,0.833427869162413,0.811169852243459,0.597532872441372,0.622746373864715,0.801553124676092
"61","recurrent","agnostic","IWR07-reg001","Tumor",0.51233045622688,0.656862745098039,0.487104337631887,0.679237631792376,0.487104337631887,0.51233045622688,0.499399038461538,0.388782358581016,0.199185043144775,0.408916586768936,0.58459660066246
"62","recurrent","agnostic","IWR07-reg002","Tumor",0.60200845665962,0.634238108035474,0.625996152789228,0.610450077599586,0.625996152789228,0.60200845665962,0.613768018321433,0.504197201865423,0.303530979347102,0.484876748834111,0.618123282347547
"63","recurrent","agnostic","IWR07-reg003","Tumor",0.742881794650561,0.735064935064935,0.894080996884735,0.487091222030981,0.894080996884735,0.742881794650561,0.811498586239397,0.750647668393782,0.557642487046632,0.623704663212435,0.738973364857748
"64","recurrent","agnostic","IWR07-reg004","Tumor",0.533998358482227,0.647159090909091,0.772984829098885,0.381670436458072,0.772984829098885,0.533998358482227,0.631641835629738,0.692294243629529,0.369683989684864,0.478255168495127,0.590578724695659
"65","recurrent","agnostic","IWR07-reg005","Tumor",0.560698689956332,0.734870317002882,0.874659400544959,0.336411609498681,0.874659400544959,0.560698689956332,0.683342203299627,0.767426273458445,0.43029490616622,0.491957104557641,0.647784503479607
"66","recurrent","agnostic","IWR08-reg001","Tumor",0.871037076840408,0.704358068315665,0.682813816343724,0.882005899705015,0.682813816343724,0.871037076840408,0.765525383707202,0.422186932849365,0.367740471869329,0.538566243194192,0.787697572578037
"67","recurrent","agnostic","IWR08-reg002","Tumor",0.905707640007157,0.781347798873357,0.82847790507365,0.876638576779026,0.82847790507365,0.905707640007157,0.865373108812719,0.538335580812946,0.487574648429975,0.588518589867078,0.843527719440257
"68","recurrent","agnostic","IWR08-reg003","Tumor",0.846501128668172,0.594913714804723,0.456760048721072,0.905947441217151,0.456760048721072,0.846501128668172,0.593354430379747,0.286917098445596,0.242875647668394,0.531735751295337,0.720707421736447
"69","recurrent","agnostic","IWR08-reg004","Tumor",0.847054194944428,0.800635095954715,0.856404136833731,0.788550448735382,0.856404136833731,0.847054194944428,0.851703505909113,0.583974727168294,0.494658242389431,0.577599080987938,0.823844645449571
"70","recurrent","agnostic","IWR08-reg005","Tumor",0.787145557655955,0.742069682787311,0.807602792862684,0.717085427135678,0.807602792862684,0.787145557655955,0.7972429638139,0.579028021015762,0.455779334500876,0.564360770577933,0.764607620221633
"71","recurrent","agnostic","IWR08-reg006","Tumor",0.818181818181818,0.783716594157862,0.851091142490372,0.740458015267176,0.851091142490372,0.818181818181818,0.834312080536913,0.601732673267327,0.492326732673267,0.578465346534653,0.80094920616984
"72","recurrent","agnostic","IWR08-reg007","Tumor",0.821766965428937,0.816687938736439,0.933174363149936,0.59530177927666,0.933174363149936,0.821766965428937,0.873934475339742,0.7569883301671,0.622068002946536,0.666614973054705,0.819227452082688
"73","recurrent","agnostic","IWR09-reg001","Tumor",0.666883062489529,0.679922114880551,0.881668927711177,0.363363483550788,0.881668927711177,0.666883062489529,0.759380477161355,0.781474511087472,0.521152115211521,0.591097291547337,0.67340258868504
"74","recurrent","agnostic","IWR09-reg002","Tumor",0.793502908409741,0.541076487252125,0.550908655327013,0.786927772126144,0.550908655327013,0.793502908409741,0.65031814968185,0.415024857300681,0.329323431330428,0.597782278688189,0.667289697830933
"75","recurrent","agnostic","IWR09-reg003","Tumor",0.629381694255112,0.599122985926983,0.663657754010695,0.562604740244194,0.663657754010695,0.629381694255112,0.646065426982904,0.556891098056936,0.350497062810664,0.528129236330773,0.614252340091048
"76","recurrent","agnostic","IWR09-reg004","Tumor",0.636857621827851,0.59000190077932,0.62997483989021,0.597152751058099,0.62997483989021,0.636857621827851,0.633397533561388,0.522912762227193,0.333020978175443,0.528625838824739,0.613429761303585
"77","recurrent","agnostic","IWR09-reg005","Tumor",0.684696016771489,0.631034482758621,0.656086781840097,0.660649819494585,0.656086781840096,0.684696016771489,0.670086171522364,0.506907545164718,0.347077577045696,0.529011689691817,0.657865249765055
"78","recurrent","agnostic","IWR09-reg006","Tumor",0.66723259762309,0.614428857715431,0.550677253619804,0.722772277227723,0.550677253619804,0.66723259762309,0.603377686796315,0.414594087282966,0.276630689816987,0.502346316283435,0.64083072766926
"79","recurrent","agnostic","IWR10-reg001","Tumor",0.68362480127186,0.720306513409962,0.815423514538559,0.557449962935508,0.815423514538559,0.68362480127186,0.743730181608533,0.643807574206755,0.440122824974411,0.539747526441488,0.701965657340911
"80","recurrent","agnostic","IWR10-reg002","Tumor",0.607811228641172,0.63716814159292,0.784663865546218,0.427553444180523,0.784663865546218,0.607811228641172,0.685006877579092,0.685061315496098,0.416387959866221,0.530657748049052,0.622489685117046
"81","recurrent","agnostic","IWR10-reg003","Tumor",0.794561243144424,0.631626701231367,0.550245291976579,0.844248094248094,0.550245291976579,0.794561243144424,0.650210378681627,0.361922090811347,0.287569266396493,0.522620130675709,0.713093972187896
"82","recurrent","agnostic","IWR10-reg004","Tumor",0.798146718146718,0.682926829268293,0.711747693155213,0.775236457437661,0.711747693155213,0.798146718146718,0.752475247524753,0.495182012847966,0.39522789843989,0.555292138268584,0.740536773707505
"83","recurrent","agnostic","IWR10-reg005","Tumor",0.76778413736713,0.581834876425128,0.462106299212598,0.842641843971631,0.462106299212598,0.76778413736713,0.576958525345622,0.318755212677231,0.244735195996664,0.529608006672227,0.674809506896129
"84","recurrent","agnostic","IWR10-reg006","Tumor",0.818885448916409,0.5702674048769,0.503740987620732,0.85530035335689,0.503740987620732,0.818885448916409,0.623768213593868,0.347552071324264,0.284605333948198,0.564983475520713,0.694576426896654
"85","recurrent","agnostic","IWR10-reg007","Tumor",0.870935960591133,0.639580602883355,0.681835711531045,0.848203939745075,0.681835711531045,0.870935960591133,0.764871295695436,0.47001620745543,0.409354017133596,0.600370456124103,0.755258281737244
"86","recurrent","agnostic","IWR10-reg008","Tumor",0.82700751292809,0.624810462471569,0.68162444712505,0.788070762610567,0.68162444712505,0.82700751292809,0.747310879915359,0.492716696312677,0.407480409595693,0.597807797702034,0.72590898769983
"87","recurrent","agnostic","IWR10-reg009","Tumor",0.8823186717157,0.70661065664382,0.695362718089991,0.887777777777778,0.695362718089991,0.8823186717157,0.777763512646039,0.43149824032177,0.380718954248366,0.547511312217195,0.794464664179761
