"","test","model","roi","class","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy"
"148","recurrent","aware","IWR06-reg002","Lymphoid",0.573770491803279,0.994708683638074,0.538461538461539,0.99541095487439,0.538461538461538,0.573770491803279,0.555555555555556,0.0106444858073523,0.00610749185667752,0.0113424848766868,0.784239587720676
"149","recurrent","aware","IWR06-reg003","Lymphoid",0.551020408163265,0.996779946497573,0.453781512605046,0.997818001487726,0.453781512605042,0.551020408163265,0.497695852534562,0.00483139420232696,0.00266219680536383,0.00586669295996845,0.773900177330419
"150","recurrent","aware","IWR06-reg004","Lymphoid",0.13102119460501,0.998393090288239,0.809523809523808,0.956601231716705,0.80952380952381,0.13102119460501,0.225538971807629,0.0495418098510882,0.00649102710958381,0.00801832760595647,0.564707142446625
"151","recurrent","aware","IWR06-reg005","Lymphoid",0.797872340425532,0.998306351183064,0.916870415647923,0.995282081843464,0.916870415647922,0.797872340425532,0.853242320819113,0.0228766123144317,0.0182526162083232,0.0199075200778778,0.898089345804298
"152","recurrent","aware","IWR06-reg006","Lymphoid",0.489871086556169,0.989710763394974,0.550724637681158,0.986903073286052,0.550724637681159,0.489871086556169,0.518518518518518,0.0251005408403827,0.0122960292146258,0.0223270004160311,0.739790924975572
"153","recurrent","aware","IWR06-reg007","Lymphoid",0.692682926829268,0.997272857758002,0.937293729372937,0.982188295165394,0.937293729372937,0.692682926829268,0.796633941093969,0.0555781482987664,0.0384980344313407,0.041073607157381,0.844977892293635
"154","recurrent","aware","IWR07-reg001","Lymphoid",0.634615384615385,0.986407766990291,0.370786516853933,0.995346558902768,0.370786516853933,0.634615384615385,0.468085106382979,0.012464046021093,0.00790987535953979,0.0213326941514861,0.810511575802838
"155","recurrent","aware","IWR07-reg002","Lymphoid",0.551282051282051,0.99057492931197,0.380530973451329,0.995265151515151,0.380530973451327,0.551282051282051,0.450261780104712,0.0103930712858095,0.00572951365756163,0.0150566289140573,0.770928490297011
"156","recurrent","aware","IWR07-reg003","Lymphoid",0.571428571428571,0.996096291476903,0.399999999999999,0.998044328552803,0.4,0.571428571428571,0.470588235294118,0.00453367875647668,0.00259067357512953,0.00647668393782383,0.783762431452737
"157","recurrent","aware","IWR07-reg004","Lymphoid",0.658730158730159,0.996308179141212,0.497005988023954,0.998106727721029,0.497005988023952,0.658730158730159,0.566552901023891,0.00550723370776695,0.0036277809344814,0.0072992700729927,0.827519168935685
"158","recurrent","aware","IWR07-reg005","Lymphoid",0.571428571428571,0.993910690121786,0.470588235294119,0.99593220338983,0.470588235294118,0.571428571428571,0.516129032258065,0.00938337801608579,0.00536193029490617,0.0113941018766756,0.782669630775179
"159","recurrent","aware","IWR08-reg001","Lymphoid",0.805555555555556,0.959767441860465,0.334615384615385,0.994937319189971,0.334615384615385,0.805555555555556,0.472826086956522,0.0245009074410163,0.0197368421052632,0.058983666061706,0.88266149870801
"160","recurrent","aware","IWR08-reg002","Lymphoid",0.698039215686274,0.958822948553372,0.299159663865546,0.992132420557883,0.299159663865546,0.698039215686274,0.418823529411765,0.0245617414756309,0.0171450587555384,0.0573107301098054,0.828431082119823
"161","recurrent","aware","IWR08-reg003","Lymphoid",0.488095238095238,0.971656976744186,0.677685950413223,0.939564300773015,0.677685950413223,0.488095238095238,0.567474048442906,0.10880829015544,0.0531088082901554,0.0783678756476684,0.729876107419712
"162","recurrent","aware","IWR08-reg004","Lymphoid",0.722033898305085,0.980142687277051,0.560526315789473,0.99015015015015,0.560526315789474,0.722033898305085,0.631111111111111,0.0338885697874785,0.024468696151637,0.0436530729465824,0.851088292791068
"163","recurrent","aware","IWR08-reg005","Lymphoid",0.542857142857143,0.988162986569542,0.646258503401361,0.981904546482696,0.646258503401361,0.542857142857143,0.590062111801242,0.0383099824868652,0.0207968476357268,0.0321803852889667,0.765510064713343
"164","recurrent","aware","IWR08-reg006","Lymphoid",0.408333333333333,0.98405612244898,0.439461883408071,0.981926944126257,0.439461883408072,0.408333333333333,0.423326133909287,0.0297029702970297,0.0121287128712871,0.0275990099009901,0.696194727891156
"165","recurrent","aware","IWR08-reg007","Lymphoid",0.596385542168675,0.992976157958403,0.354838709677418,0.997373990750176,0.354838709677419,0.596385542168675,0.444943820224719,0.00643585468925678,0.00383825068817121,0.010816888303028,0.794680850063539
"166","recurrent","aware","IWR09-reg001","Lymphoid",0.916225749559083,0.994380617298361,0.755087209302327,0.998409482830786,0.755087209302326,0.916225749559083,0.827888446215139,0.0185582194583095,0.0170035185336716,0.0225186154979134,0.955303183428722
"167","recurrent","aware","IWR09-reg002","Lymphoid",0.911475409836066,0.994235599291802,0.498207885304658,0.999441236729372,0.49820788530466,0.911475409836066,0.644264194669757,0.00623989852492891,0.00568751406534504,0.0114159454980667,0.952855504563934
"168","recurrent","aware","IWR09-reg003","Lymphoid",0.970588235294118,0.990563902968863,0.136645962732919,0.99995431390913,0.136645962732919,0.970588235294118,0.23956442831216,0.00153637596023498,0.00149118843199277,0.0109127880704925,0.98057606913149
"169","recurrent","aware","IWR09-reg004","Lymphoid",0.950166112956811,0.984991305939416,0.367609254498714,0.999535661218425,0.367609254498715,0.950166112956811,0.530120481927711,0.00909860347016504,0.00864518469258207,0.0235173205973037,0.967578709448113
"170","recurrent","aware","IWR09-reg005","Lymphoid",0.934782608695652,0.965719777872704,0.118131868131868,0.999668361706832,0.118131868131868,0.934782608695652,0.209756097560976,0.0048884165781084,0.00456960680127524,0.038682252922423,0.950251193284178
"171","recurrent","aware","IWR09-reg006","Lymphoid",0.7875,0.977761836441894,0.403846153846154,0.995859717486605,0.403846153846154,0.7875,0.533898305084746,0.0187705302674801,0.0147817925856405,0.0366025340215861,0.882630918220947
"172","recurrent","aware","IWR10-reg001","Lymphoid",0.810810810810811,0.977539737387699,0.315789473684211,0.9975317348378,0.31578947368421,0.810810810810811,0.454545454545455,0.0126236779256227,0.0102354145342886,0.0324121460252474,0.894175274099255
"173","recurrent","aware","IWR10-reg002","Lymphoid",0.210526315789474,0.997746478873239,0.499999999999998,0.991601343784994,0.5,0.210526315789474,0.296296296296296,0.0105908584169454,0.00222965440356745,0.00445930880713489,0.604136397331356
"174","recurrent","aware","IWR10-reg003","Lymphoid",0.871559633027523,0.99816391253547,0.811965811965813,0.998830800066811,0.811965811965812,0.871559633027523,0.84070796460177,0.00901496981225705,0.00785708378132495,0.00967661897278968,0.934861772781496
"175","recurrent","aware","IWR10-reg004","Lymphoid",0.863636363636364,0.996546961325967,0.457831325301206,0.999538212883861,0.457831325301205,0.863636363636364,0.598425196850394,0.00336494340776996,0.0029060874885286,0.00634750688283879,0.930091662481165
"176","recurrent","aware","IWR10-reg005","Lymphoid",0.420245398773006,0.996181991727649,0.655502392344499,0.9900395256917,0.655502392344498,0.420245398773006,0.51214953271028,0.0169933277731443,0.00714136780650542,0.010894495412844,0.708213695250328
